	id	w	p	l	c1	c2	pred
419	419	diet	N	F	The diet of the Giant Panda consists mainly of bamboo .	He 's been reading a steady diet of nonfiction for the last several years .	F
420	420	induction	N	F	He was ordered to report for induction into the army .	The induction of an anesthetic state .	F
421	421	bull	V	F	To bull railroad bonds .	He bulled his way in .	F
424	424	motivation	N	F	We did not understand his motivation .	His motivation was at a high level .	F
425	425	identity	N	F	A right identity , x * I = x for any x in the structure .	You can lose your identity when you join the army .	F
427	427	fire	N	F	Clinton directed his fire at the Republican Party .	There was a fire at the school last night and the whole place burned down .	F
429	429	addition	N	F	The addition of a leap day every four years .	The addition of a bathroom was a major improvement .	F
431	431	shoot	V	F	Shoot cloth .	Shoot a star .	F
442	442	probation	N	F	Probation is part of the sentencing process .	You 'll be on probation for first six months . After that , if you work out , they 'll hire you permanently .	F
447	447	accession	N	F	Accession to such demands would set a dangerous precedent .	The librarian shelved the new accessions .	F
450	450	association	N	F	You can not be convicted of criminal guilt by association .	He joined the Modern Language Association .	F
453	453	experience	N	F	A surprising experience .	Experience is the best teacher .	F
454	454	undo	V	F	Undo the shoelace .	A single mistake undid the President and he had to resign .	F
455	455	relief	N	F	He has been on relief for many years .	Was the relief supposed to be protection from future harm or compensation for past injury ?	F
458	458	pencil	N	F	An eyebrow pencil .	This artist 's favorite medium is pencil .	F
463	463	bull	N	F	He was a bull of a man .	He made a bad bull of the assignment .	F
464	464	flick	V	F	Flick a piece of paper across the table .	He flicked his Bic .	F
466	466	authority	N	F	She lost all her respect and authority after turning up drunk to the meeting .	This book is the final authority on the life of Milton .	F
469	469	hour	N	F	We live an hour from the airport .	It was their finest hour .	F
470	470	dig	N	F	They set up camp next to the dig .	She takes a dig at me every chance she gets .	F
471	471	dish	N	F	They served me a dish of rice .	We gave them a set of dishes for a wedding present .	F
475	475	post	V	F	Post a warning at the dump .	The newspaper posted him in Timbuktu .	F
477	477	pinnacle	V	F	Pinnacle a pediment .	He did not want to be pinnacled .	F
480	480	lie	V	F	Lie down on the bed until you feel better .	She lied when she told me she was only 29 .	F
481	481	agency	N	F	She has free agency .	Central Intelligence Agency .	F
482	482	string	N	F	A string of islands .	The strings played superlatively well .	F
484	484	twist	V	F	Do n't twist my words .	Twist the dough into a braid .	F
485	485	invite	V	F	Can I invite you for dinner on Sunday night ?	The organizers invite submissions of papers for the conference .	F
488	488	render	V	F	Render the brick walls in the den .	The face of the child is rendered with much tenderness in this painting .	F
490	490	agency	N	F	The superintendence and agency of Providence in the natural world . --Woodward .	The Central Intelligence Agency .	F
491	491	breakdown	N	F	After so much stress , he suffered a breakdown and simply gave up .	His warning came after the breakdown of talks in London .	F
492	492	combust	V	F	We combust coal and other fossil fuels .	The professor combusted when the student did n't know the answer to a very elementary question .	F
493	493	writing	N	F	Writing was a form of therapy for him .	The idea occurs with increasing frequency in Hemingway 's writings .	F
497	497	reappearance	N	F	The reappearance of Halley 's comet .	His reappearance as Hamlet has been long awaited .	F
505	505	spin	N	F	The campaign put a favorable spin on the story .	The skaters demonstrated their spins .	F
506	506	heel	V	F	Heel a golf ball .	Heel that dance .	F
514	514	catch	V	F	I would love to have dinner but I have to catch a plane .	We caught something of his theory in the lecture .	F
519	519	flood	V	F	Flood the market with tennis shoes .	The swollen river flooded the village .	F
520	520	steam	V	F	Just steam the vegetables .	Her indifference to his amorous advances really steamed the young man .	F
521	521	foundation	N	F	He lacks the foundation necessary for advanced study .	The Wikimedia Foundation , Inc. is the parent organization of the Wiktionary collaborative project .	F
524	524	delight	N	F	The new car is a delight .	His delight to see her was obvious to all .	F
526	526	get	V	F	The operator could n't get Kobe because of the earthquake .	I 'll get this finished by lunchtime .	F
530	530	pity	N	F	It 's a pity he could n't do it .	The blind are too often objects of pity .	F
541	541	confusion	N	F	The army retreated in confusion .	A confusion of impressions .	F
542	542	stress	N	F	Some people put the stress on the first syllable of “ controversy ” ; others put it on the second .	The intensity of stress is expressed in units of force divided by units of area .	F
546	546	cleat	V	F	Cleat running shoes for better traction .	Cleat a line .	F
553	553	form	V	F	"By adding "" -ness "" , you can form a noun from an adjective ."	Form cylinders from the dough .	F
558	558	cross	N	F	A mule is a cross between a horse and a donkey .	That is his cross to bear .	F
566	566	clap	V	F	The children began to clap in time with the music .	The big bird clapped its wings .	F
568	568	deal	N	F	A deal of trouble .	He made a deal with the devil .	F
570	570	party	N	F	The party of the first part .	He planned a party to celebrate Bastille Day .	F
571	571	section	N	F	The history of this work is discussed in the next section .	A graduate student taught sections for the professor 's lecture course .	F
572	572	conserve	V	F	Conserve your energy for the ascent to the summit .	Mom always conserved the strawberries we grew in the backyard .	F
574	574	create	V	F	Create a poem .	Create one a peer .	F
575	575	surface	N	F	It was not what it appeared to be on the surface .	The cloth had a pattern of red dots on a white surface .	F
576	576	setting	N	F	A place setting of sterling flatware .	He changed the setting on the thermostat .	F
584	584	prohibition	N	F	They were restrained by a prohibition in their charter .	In 1920 the 18th amendment to the Constitution established prohibition in the US .	F
587	587	strand	N	F	A strand of pearls .	He tried to pick up the strands of his former life .	F
588	588	activity	N	F	The level of activity declines with age .	His sphere of activity .	F
590	590	dip	V	F	Dip the brush into the paint .	She dipped her knee .	F
593	593	fuel	V	F	Fuel aircraft , ships , and cars .	Fuel the debate on creationism .	F
594	594	club	N	F	Each club played six home games with teams in its own division .	He played the drums at a jazz club .	F
596	596	appreciate	V	F	I appreciate your efforts .	The yen appreciated again !	F
598	598	youth	N	F	Youth everywhere rises in revolt .	Her youth and beauty is what attracted him to her .	F
601	601	inject	V	F	Inject heroin .	He injected new life into the performance .	F
602	602	force	N	F	A force out was recorded on the scorecard .	A public force is necessary to give security to the rights of citizens .	F
604	604	restraint	N	F	The room was simply decorated with great restraint .	The car did not have proper restraints fitted .	F
609	609	stab	N	F	He took a stab at forecasting .	She felt a stab of excitement .	F
616	616	crisis	N	F	They went bankrupt during the economic crisis .	After the crisis the patient either dies or gets better .	F
621	621	sound	N	F	The main body of the sound ran parallel to the coast .	He strained to hear the faint sounds .	F
623	623	easiness	N	F	The very easiness of the deed held her back .	There was an easiness between them .	F
624	624	mire	V	F	To mire a horse or wagon .	Our people should not be mired in the past .	F
633	633	base	N	F	He told the painter that he wanted a yellow base with just a hint of green .	Bases include oxides and hydroxides of metals and ammonia .	F
634	634	power	N	F	He needed a lot of power to hit the ball out of the stadium .	The mysterious presence of an evil power .	F
637	637	pierce	V	F	To pierce a mystery .	The path pierced the jungle .	F
