id	w	p	l	c1	c2	pred
195	take	V	F	We take the Times every day .	Take action .	F
196	material	N	T	She was vice-presidential material .	He was university material .	F
197	work	V	F	This dough does not work easily .	Can you work an electric drill ?	F
198	come	V	F	Come into contact with a terrorist group .	Where did you come from ?	F
199	fire	V	F	In warfare , whoever opens fire first has a greater chance of victory .	Surrender fires the cold skepticism .	F
200	cover	V	F	Cover the grave with flowers .	She covered herself with glory .	F
201	point	N	F	What is the point of discussing it ?	He stuck the point of the knife into a tree .	F
202	play	N	F	It was all done in play .	Rain stopped play in the 4th inning .	F
203	chance	N	F	You take a chance when you let her drive .	We had the chance to meet the president last week .	T
204	cup	N	F	He swore as the ball rimmed the cup and rolled away .	He drank a cup of coffee .	F
205	drop	N	F	A drop of each sample was analyzed .	They expected the drop would be successful .	T
206	focus	V	T	Please focus on your studies and not on your hobbies .	Focus on passing the test .	T
207	point	N	T	He broke the point of his pencil .	He stuck the point of the knife into a tree .	F
208	collision	N	T	The collision of the two ships resulted in a serious oil spill .	Three passengers were killed in the collision .	T
209	take	V	T	Do you take me for a fool ?	He was often taken to be a man of means .	F
210	plug	V	F	Plug the wall .	He attempted to plug the leaks with some caulk .	F
211	mean	V	F	The sky is red this morning — does that mean we 're in for a storm ?	My ex-husband means nothing to me .	F
212	washout	N	F	It was several days after the storm before they could repair the washout and open the road .	From the house they watched the washout of their newly seeded lawn by the water .	T
213	shell	V	T	Nuts shell in falling .	Wheat or rye shells in reaping .	T
214	make	V	F	Make lead into gold .	How much do you make a month in your new job ?	F
215	run	V	F	The crowd had to run away from the burning structure with only the clothes on their backs .	Who 's running for treasurer this year ?	F
216	leave	V	T	Leave the flowers that you see in the park behind .	The wound I got in my car accident left behind a massive scar .	F
217	thing	N	F	How could you do such a thing ?	He has a thing about seafood .	T
218	land	V	T	It can be tricky to land a helicopter .	Use the net to land the fish .	F
219	air	N	T	There was a tension in the air which made me suspect an approaching storm .	Open a window and let in some air .	T
220	make	V	F	Make a phone call .	They make a cute couple .	F
221	house	N	F	The house gets a percentage of every bet .	He has a house on Cape Cod .	F
222	custody	N	F	He was mistreated while in police custody .	The suspect is in custody .	T
223	respect	N	F	He is an intellectual giant , and I have great respect for him .	Be sure to give my respects to the dean .	T
224	stain	V	T	People knew how to stain glass a beautiful blue in the middle ages .	Stain this table a beautiful walnut color .	T
225	run	V	T	The sale will run for ten days .	The book runs 655 pages .	F
226	strike	V	F	Please strike this remark from the record .	We must strike the enemy 's oil fields .	F
227	take	V	F	I used to take The Sunday Times .	You ca n't take credit for this !	F
228	continue	V	F	We can not continue several servants any longer .	The bad weather continued for two more weeks .	F
229	play	V	F	Play the stock market .	Play cards .	F
230	loaf	N	T	Sugar loaf .	A loaf of cheese .	T
231	carry	V	T	You must carry your camping gear .	Amanda carried the package .	T
232	sum	N	F	The sum of all our troubles did not equal the misery they suffered .	The sum of forty pounds .	F
233	see	V	T	He is blind -- he can not see .	I saw him laughing .	F
234	hit	V	T	The temperature could hit 110 F tomorrow .	The movie hits theaters in December .	F
235	cut	V	F	She cut the deck for a long time .	Soap cuts grease .	F
236	work	N	F	Mastering a second language requires a lot of work .	He arrived at work early today .	F
237	experience	N	T	He recalled the experience vividly .	It was an experience he would not soon forget .	T
238	take	V	F	I used to take The Sunday Times .	Take action .	F
239	focus	V	T	Please focus on your studies and not on your hobbies .	We focused on it .	T
240	thread	N	T	A thread of smoke climbed upward .	From the air the road was a grey thread .	T
241	cut	V	F	She cut the deck for a long time .	Cut a disk .	F
242	come	V	T	Come into contact with a terrorist group .	The shoes came untied .	F
243	coordinate	V	T	Coordinate his actions with that of his colleagues .	Coordinate the painters , masons , and plumbers .	T
244	place	N	F	Your place or mine ?	If you were in my place what would you do ?	T
245	return	N	T	They set out on their return to the base camp .	I expect the house to be spotless upon my return .	T
246	law	N	F	There is a law against kidnapping .	By law , one is not allowed to own a wallaby in New York City .	T
247	tumble	V	F	Wash in warm water and tumble dry .	They tumbled the teams with no apparent pattern .	F
248	stream	N	T	Stream of consciousness .	Two streams of development run through American history .	T
249	play	N	F	The play lasted two hours .	They made a futile play for power .	F
250	credit	N	T	I give you credit for owning up to your mistake .	He arrived five minutes late , but to his credit he did work an extra ten minutes at the end of his shift .	T
251	check	N	F	He paid all his bills by check .	He asked the waiter for the check .	T
252	drill	V	T	Do n't drill here , there 's a gas pipe .	Drill a small hole to start the screw in the right direction .	F
253	recognition	N	T	Increasing recognition that diabetes frequently coexists with other chronic diseases .	A sudden recognition of the problem he faced .	T
254	remember	V	T	Can you remember her phone number ?	I remember the concert clearly , but I ca n't recollect why I was there .	T
255	room	N	T	Room to pass .	There was n't that much elbow room in the aircraft .	T
256	microprocessor	N	T	A disk drive contains a microprocessor to handle the internal functions of the drive .	A microprocessor functions as the central processing unit of a microcomputer .	F
257	piece	N	F	It was a nice piece of work .	He needed a piece of granite .	T
258	move	V	F	To move in a matter .	She moved the queen closer to the centre of the board .	T
259	position	N	T	Chief of Staff is the second-highest position in the army .	Atheists do not enjoy a favorable position in American life .	F
260	see	V	F	Let 's see -- which movie should we see tonight ?	How nice to see you again !	T
261	head	N	T	His horse won by a head .	He is two heads taller than his little sister .	F
262	make	V	T	To make like a deer caught in the headlights .	He made as if to punch him , but they both laughed and shook hands .	F
263	reduce	V	F	Reduce an image .	Reduce one 's standard of living .	F
264	work	V	T	He could not work the math problem .	This unpleasant situation is n't going to work itself out .	F
265	take	V	F	Take an opportunity .	The escaped convict took to the hills .	F
266	pack	V	F	You had better pack your swollen ankle with ice .	Pack the faucet .	F
267	integrity	N	T	They admired his scrupulous professional integrity .	He expects to find in us the common honesty and integrity of men of business .	T
268	part	N	F	He wanted to feel a part of something bigger than himself .	The rear part of the house .	F
269	edge	N	F	His voice had an edge to it .	She sat on the edge of the bed .	F
270	take	V	F	I take aspirin every day to thin my blood .	Hitler took the Baltic Republics .	F
271	take	V	T	Tomorrow the doctor will take the cast off her arm .	Take the gun from your pocket .	F
272	create	V	T	You can create the color orange by mixing yellow and red .	The company was created 25 years ago .	F
273	be	V	F	I may be an hour .	When will the meeting be ?	F
274	touch	N	F	The cooling touch of the night air .	This piano has a wonderful touch .	F
275	bum	N	T	That mechanic 's a bum - he could n't fix a yo-yo .	A lazy bum .	T
276	pull	V	F	Pull one 's horse to a stand .	Pull the ball .	T
277	catch	V	F	Did you catch a cold ?	The fashion did not catch .	F
278	see	V	F	We had to see a psychiatrist .	He saw action in Viet Nam .	F
279	make	V	F	Make advances .	She 'll make a fine president .	F
280	realization	N	F	A growing realization of the risk involved .	The victory was the realization of a whole year 's work .	F
281	know	V	T	It is vital that he not know .	She knew of our plan .	F
282	head	N	F	He stuck his head out the window .	They tracked him back toward the head of the stream .	F
283	touch	N	F	He longed for the touch of her hand .	This room needs a woman 's touch .	T
284	fail	V	T	Where do today 's public schools fail ?	The attempt to rescue the hostages failed miserably .	F
285	stick	V	F	Stick the corner of the sheet under the mattress .	The friends stuck together through the war .	F
286	occupy	V	F	The young prince will soon occupy the throne .	He occupies two rooms on the top floor .	F
287	range	V	T	My students range from very bright to dull .	The instruments ranged from tuba to cymbals .	T
288	go	V	F	It 's your turn ; go .	The gun went " bang " .	F
289	practice	N	T	The practice of the law .	I took over his practice when he retired .	T
290	dress	V	F	Dress the windows .	Marlene dressed herself .	F
291	meeting	N	T	They came together in a chance meeting on the way home from work .	Next year the meeting will be in Chicago .	F
292	fill	N	T	Do n't feed him any more : he 's had his fill .	She had heard her fill of gossip .	T
293	polish	V	F	Polish your social manners .	He polished up the chrome until it gleamed .	F
294	style	N	T	A cartilaginous style .	The anal styles of insects .	F
295	treat	V	T	I like to treat myself to a day at a spa when I am depressed .	Grandmother always treated us to the circus .	T
296	go	V	T	These luxuries all had to go under the Khmer Rouge .	This chair has got to go .	F
297	return	V	T	Return to your native land .	The professor returned to his teaching position after serving as Dean .	T
298	give	V	F	Give thought to .	I gave two sons to the war .	F
299	school	N	F	He did n't miss a single day of school .	He walked to school every morning .	T
300	day	N	T	After that day she never trusted him again .	I 've been here for 2 days and a bit .	T
301	strike	V	F	Strike ` z ' on the keyboard .	The horse finally struck a pace .	F
302	make	V	F	Make a cake .	He made twenty bucks playing poker last night .	F
303	break	V	F	Break a branch from a tree .	The business partners broke over a tax question .	F
304	academy	N	F	The Academy of Music .	The American Academy of Arts and Sciences .	T
305	head	N	F	I 've got to go to the head .	This song keeps going through my head .	T
306	keep	V	T	Keep appointments .	We kept to the original conditions of the contract .	T
307	ground	N	F	They fought to regain the lost ground .	The worm crawls through the ground .	T
308	spread	N	F	They put out quite a spread .	The spread between lending and borrowing costs .	F
309	lob	V	T	Lob the tennis ball .	The guard lobbed a pass just over the defender .	T
310	draw	V	F	Draw a conclusion .	The doctors drew medical supplies from the hospital 's emergency bank .	F
311	fall	V	F	The hills around here fall towards the ocean .	His eyes fell .	F
312	business	N	F	We do business all over the world .	He bought his brother 's business .	T
313	buildup	N	T	I envied his rapid buildup of assets .	A military buildup in preparation for the invasion .	F
314	object	N	F	The sole object of her trip was to see her children .	The object of the verb .	F
315	catch	V	T	Catch one 's breath .	Catch some sleep .	F
316	order	N	F	It was on the order of a mile .	Law and order .	F
317	replace	V	T	The insurance will replace the lost income .	He replaced the old razor blade .	T
318	breath	N	F	His sour breath offended her .	The child 's breath came quickly and unevenly .	F
319	break	V	F	Break the code .	Break a branch from a tree .	F
320	run	V	T	The horse will run the Preakness next year .	I 'm not ready to run a marathon .	F
321	hand	N	T	His hand was illegible .	A good hand .	F
322	shock	N	F	He had an unruly shock of black hair .	The train hit the buffers with a great shock .	F
323	piece	N	F	He 's packin ' a piece !	He needed a piece of granite .	F
324	coordinate	V	T	Coordinate our efforts .	Coordinate his actions with that of his colleagues .	T
325	assume	V	F	Mr. Jones will assume the position of a lifeguard until a proper replacement is found .	The queen assumed the stately robes .	F
326	shock	N	F	Subjects received a small electric shock when they made the wrong response .	It came as a shock to learn that he was injured .	F
327	end	N	F	The end of the year .	One end of the box was marked ` This side up ' .	F
328	quality	N	T	This school is well-known for having teachers of high quality .	Quality of life is usually determined by health , education , and income .	T
329	cast	V	F	Who cast this beautiful movie ?	Cast a vote .	F
330	get	V	F	We 'll get them !	She did n't get the joke .	F
331	hold	V	F	To hold true .	Hold that position behind the trees !	F
332	pay	V	T	Crime does n't pay .	It pays to go through the trouble .	F
333	smile	N	T	She had a smile on her face .	He always puts a smile on my face .	T
334	age	N	T	It 's been an age since we last saw you .	It was replaced because of its age .	T
335	glimpse	N	F	From the window he could catch a glimpse of the lake .	I only got a glimpse of the car , so I can tell you the colour but not the registration number .	T
336	open	V	F	Open a business .	The door opened .	F
337	product	N	F	That store offers a variety of products .	The product of 2 and 3 is 6 .	F
338	change	N	F	She brought a change in her overnight bag .	The product is undergoing a change in order to improve it .	T
339	lie	V	F	Do n't lie to your parents .	The snow lies on the roof . 	F
340	demand	V	F	I demand an explanation .	This position demands a lot of personal sacrifice .	F
341	art	N	F	He said that architecture is the art of wasting space beautifully .	How great thou art !	F
342	line	N	F	A dedicated line .	The letter consisted of three short lines .	F
343	check	V	F	Please check each name on the list .	She checked for an instant and missed a step .	T
344	lead	N	F	A good lead for a job .	They did n't follow our lead .	F
345	get	V	F	The operator could n't get Kobe because of the earthquake .	What did you get at the toy store ?	F
346	roll	V	F	Roll your hair around your finger .	The thunder rolled .	F
347	invitation	N	F	She threw the invitation away .	She was an invitation to trouble .	F
348	figure	N	T	He cut a fine figure .	He cut a sorry figure standing there in the rain .	T
349	go	V	F	This violinist is as good as Juilliard-trained violinists go .	It 's your turn ; go .	F
350	chromosome	N	T	Humans have 22 chromosome pairs plus two sex chromosomes .	There have been documented cases of morphologically male transgenders having XX chromosomes .	T
351	action	N	T	The Union action of emancipating Southern slaves .	Recent federal action undermined the segregationist position .	T
352	drift	V	F	Drift the cattle herds westwards .	The balloon was drifting in the breeze .	T
353	work	V	F	This old radio does n't work anymore .	This pilot works the controls .	F
354	coverage	N	T	The enemy fire is increasing – can we get some immediate coverage from those bunkers ?	There are overlapping coverages on your insurance policies .	F
355	raise	V	T	Raise Cain .	Raise the roof .	F
356	lift	V	F	Lift an embargo .	Lift potatoes .	F
357	chain	N	T	The third link of the silver chain needs to be resoldered .	The chain of command .	F
358	number	N	T	The number of parameters is small .	He had a number of chores to do .	T
359	know	V	T	I know that I left the key on the table .	Galileo knew that the earth moves around the sun .	T
360	crash	V	F	Let 's crash the party !	The economy crashed .	F
361	one	N	T	This is the one I ordered .	He is the best one .	T
362	distance	N	T	If that happens it will be at some distance in the future .	At a distance of ten years he had forgotten many of the details .	T
363	rub	V	T	Rub oil into her skin .	The cat rubbed itself against my leg .	T
364	draw	V	T	Draw a conclusion .	I draw a line here .	F
365	dress	V	T	We had to dress quickly .	Marlene dressed the baby .	T
366	quality	N	T	The quality of students has risen .	Quality of life is usually determined by health , education , and income .	F
367	patch	N	F	A cabbage patch .	Does n't that patch of clouds looks like a bunny ?	F
368	swing	V	F	The soccer player began to swing at the referee .	This action swung many votes over to his side .	F
369	gather	V	F	Gather some stones .	If you want to emphasise the shape , it is possible to gather the waistline .	F
370	narrowness	N	T	The attraction of the book is precisely its narrowness of focus .	Frustrated by the narrowness of people 's horizons .	T
371	number	N	F	In English the subject and the verb must agree in number .	I hope to become one of their number before I die .	T
372	pay	V	T	You 'll pay for this !	You 'll pay for this opinion later .	F
373	rub	V	T	Rub my hands .	Rub oil into her skin .	T
374	run	N	F	The defensive line braced to stop the run .	The team enjoyed a brief run of victories .	F
375	touch	V	F	Can he reach ? " " The chair must not touch the wall .	Their hands touched .	F
376	advance	V	F	Can you advance me some money ?	To advance one 's interests .	F
377	form	N	F	Sculpture is a form of art .	To apply for the position , complete the application form .	F
